Frecuencias de nombres femeninos;;;
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2016;;;
;;;
Nombres de mujer con frecuencia mayor o igual a 20 a nivel nacional.;;;
(*) Edad media de las personas que tienen ese nombre a nivel nacional.;;;
;;;
Orden;Nombre;Frecuencia;Edad Media (*)
1;MARIA CARMEN;664.804 ;55,4
2;MARIA;624.184 ;48,8
3;CARMEN;407.389 ;60,3
4;JOSEFA;290.950 ;66,9
5;ANA MARIA;275.622 ;49,6
6;ISABEL;275.443 ;56,6
7;MARIA PILAR;266.058 ;55,4
8;MARIA DOLORES;263.322 ;55,1
9;MARIA TERESA;254.963 ;55,5
10;LAURA;254.773 ;26,8
11;ANA;253.321 ;43,3
12;CRISTINA;229.247 ;32,0
13;MARIA ANGELES;228.801 ;53,8
14;FRANCISCA;223.265 ;63,8
15;MARTA;223.101 ;27,8
16;ANTONIA;216.702 ;63,7
17;DOLORES;208.617 ;66,0
18;MARIA ISABEL;205.168 ;51,0
19;MARIA JOSE;204.033 ;44,3
20;LUCIA;194.894 ;22,8
21;MARIA LUISA;164.534 ;59,5
22;SARA;163.608 ;23,5
23;PAULA;161.586 ;19,0
24;ELENA;160.811 ;36,0
25;PILAR;155.700 ;62,5
26;CONCEPCION;153.632 ;64,5
27;RAQUEL;148.303 ;34,2
28;ROSA MARIA;148.069 ;50,3
29;MANUELA;147.411 ;60,4
30;MERCEDES;144.523 ;59,9
31;MARIA JESUS;140.396 ;53,6
32;ROSARIO;126.888 ;62,7
33;JUANA;126.473 ;64,8
34;TERESA;125.452 ;61,4
35;BEATRIZ;123.940 ;35,6
36;ENCARNACION;121.125 ;62,0
37;NURIA;121.076 ;36,4
38;JULIA;120.696 ;41,6
39;SILVIA;120.065 ;34,1
40;IRENE;114.110 ;25,5
41;MONTSERRAT;112.396 ;52,7
42;PATRICIA;112.084 ;29,7
43;ALBA;109.265 ;15,3
44;ROSA;109.131 ;63,9
45;ANDREA;106.299 ;21,0
46;ROCIO;105.408 ;27,6
47;MONICA;103.182 ;35,7
48;MARIA MAR;99.728 ;41,4
49;ANGELA;99.196 ;44,4
50;ALICIA;98.918 ;37,6
51;SONIA;97.987 ;35,3
52;SANDRA;97.644 ;27,3
53;MARINA;96.020 ;31,8
54;SUSANA;95.982 ;40,1
55;MARGARITA;92.781 ;58,7
56;YOLANDA;92.570 ;40,7
57;NATALIA;91.703 ;26,5
58;MARIA JOSEFA;89.649 ;60,8
59;MARIA ROSARIO;80.706 ;57,0
60;INMACULADA;79.645 ;42,1
61;EVA;78.867 ;31,4
62;MARIA MERCEDES;77.200 ;53,2
63;CLAUDIA;76.314 ;15,1
64;ANA ISABEL;76.199 ;41,2
65;ESTHER;76.195 ;39,7
66;NOELIA;73.138 ;25,9
67;ANGELES;71.915 ;64,8
68;VERONICA;71.432 ;31,5
69;CARLA;69.469 ;11,6
70;SOFIA;66.236 ;19,7
71;CAROLINA;65.011 ;31,5
72;NEREA;64.344 ;16,7
73;MARIA ROSA;63.836 ;59,4
74;MARIA VICTORIA;63.826 ;50,7
75;AMPARO;63.591 ;63,4
76;EVA MARIA;62.931 ;39,2
77;MARIA CONCEPCION;61.656 ;60,2
78;LORENA;61.509 ;26,2
79;MIRIAM;61.127 ;25,0
80;INES;60.687 ;35,7
81;ANA BELEN;60.603 ;35,7
82;VICTORIA;59.910 ;47,8
83;MARIA ELENA;59.828 ;47,6
84;MARIA ANTONIA;57.706 ;58,1
85;CATALINA;56.975 ;60,2
86;CONSUELO;55.450 ;65,8
87;LIDIA;53.276 ;32,5
88;MARIA NIEVES;52.978 ;54,8
89;DANIELA;52.954 ;13,3
90;CELIA;51.170 ;33,4
91;EMILIA;51.049 ;64,9
92;LUISA;50.110 ;65,2
93;GLORIA;49.996 ;53,0
94;OLGA;49.959 ;43,4
95;ALEJANDRA;48.926 ;23,3
96;AURORA;48.001 ;58,3
97;MARIA SOLEDAD;47.431 ;54,1
98;ESPERANZA;47.017 ;59,0
99;AINHOA;46.561 ;16,7
100;MARIA CRISTINA;46.372 ;47,2
101;FATIMA;46.084 ;35,0
102;MILAGROS;46.064 ;61,9
103;JOSEFINA;45.759 ;66,3
104;CLARA;44.829 ;28,8
105;VIRGINIA;44.756 ;38,7
106;MARIA LUZ;43.926 ;56,7
107;VANESA;43.463 ;31,6
108;ANNA;42.971 ;29,4
109;PURIFICACION;42.855 ;63,7
110;MARTINA;42.485 ;18,1
111;LOURDES;42.006 ;45,8
112;BEGOÑA;39.079 ;46,5
113;ADRIANA;38.908 ;18,1
114;BLANCA;38.890 ;28,3
115;MARIA BELEN;38.685 ;44,3
116;ISABEL MARIA;38.576 ;40,6
117;ESTEFANIA;38.097 ;29,6
118;ELISA;36.967 ;48,7
119;MAGDALENA;36.885 ;60,9
120;MARIA BEGOÑA;36.598 ;55,1
121;MARIA ASUNCION;36.290 ;58,3
122;GEMA;35.844 ;33,1
123;ARACELI;35.319 ;56,4
124;ASUNCION;35.295 ;65,6
125;MATILDE;35.218 ;64,7
126;MARIA PAZ;35.167 ;55,8
127;VICENTA;35.070 ;70,0
128;REMEDIOS;34.509 ;63,0
129;BELEN;34.494 ;32,3
130;MARIA LOURDES;34.272 ;52,7
131;MARIA ESTHER;33.981 ;51,0
132;TRINIDAD;33.439 ;64,7
133;ELVIRA;33.334 ;59,4
134;TAMARA;33.035 ;27,3
135;SOLEDAD;32.883 ;58,7
136;NATIVIDAD;32.495 ;63,1
137;PALOMA;31.174 ;37,1
138;GEMMA;31.153 ;35,6
139;LAIA;31.149 ;14,8
140;REBECA;31.011 ;28,0
141;VANESSA;30.941 ;31,8
142;ALMUDENA;30.459 ;32,8
143;MARIA CRUZ;30.419 ;57,9
144;ASCENSION;30.392 ;64,8
145;MIREIA;30.037 ;23,7
146;MARIA INMACULADA;29.603 ;46,7
147;FELISA;29.064 ;71,1
148;NOEMI;28.921 ;28,3
149;NIEVES;28.712 ;60,2
150;RAFAELA;28.390 ;63,6
151;MARIA AMPARO;28.183 ;51,9
152;ADELA;27.682 ;59,7
153;TANIA;27.599 ;24,4
154;EMMA;27.375 ;16,2
155;ARIADNA;27.323 ;12,4
156;MARIA EUGENIA;27.280 ;47,2
157;VALERIA;26.187 ;8,5
158;JESSICA;25.940 ;26,4
159;AMALIA;25.911 ;59,4
160;AMELIA;25.646 ;61,0
161;CARLOTA;25.385 ;16,8
162;DIANA;25.324 ;26,0
163;AITANA;25.189 ;8,3
164;JUANA MARIA;25.137 ;50,5
165;MARIA ROCIO;24.563 ;39,0
166;CARMEN MARIA;24.421 ;34,8
167;RAMONA;24.276 ;67,5
168;NOA;23.928 ;5,7
169;LEIRE;23.859 ;16,0
170;JOAQUINA;23.275 ;67,5
171;LEONOR;23.236 ;59,3
172;VALENTINA;23.210 ;35,1
173;AINARA;22.403 ;13,4
174;BARBARA;21.723 ;38,3
175;ELISABET;21.693 ;32,7
176;LETICIA;21.586 ;29,7
177;GUADALUPE;21.475 ;54,2
178;MARIANA;21.463 ;46,9
179;PETRA;21.242 ;69,9
180;JULIANA;20.744 ;66,5
181;CECILIA;20.701 ;47,7
182;LARA;20.673 ;17,3
183;JUDITH;20.327 ;22,3
184;MARIA MAGDALENA;20.108 ;52,0
185;AGUSTINA;20.105 ;65,7
186;ESTER;19.966 ;36,0
187;ROSALIA;19.953 ;59,2
188;MARIA ENCARNACION;19.708 ;57,0
189;AROA;19.514 ;14,9
190;SHEILA;19.437 ;21,6
191;JENNIFER;19.403 ;24,2
192;JUDIT;19.085 ;24,1
193;ESTRELLA;19.044 ;48,9
194;GABRIELA;18.783 ;30,3
195;BERTA;18.762 ;26,7
196;MARIA FRANCISCA;18.724 ;57,0
197;ADORACION;18.691 ;63,7
198;CANDELA;18.220 ;9,0
199;ALEXANDRA;17.968 ;24,1
200;SORAYA;17.710 ;27,5
201;RUTH;17.479 ;29,9
202;MARIA MONTSERRAT;17.433 ;52,4
203;HELENA;17.286 ;19,7
204;MARIA YOLANDA;17.062 ;48,3
205;MARIA GLORIA;17.044 ;58,0
206;MARIA MILAGROS;16.905 ;59,1
207;MARIA CONSUELO;16.764 ;57,3
208;NADIA;16.058 ;23,7
209;ERIKA;15.643 ;17,8
210;EUGENIA;15.620 ;60,2
211;AIDA;15.527 ;28,3
212;NAIARA;15.401 ;14,9
213;NORA;15.378 ;12,7
214;EULALIA;15.117 ;62,0
215;HERMINIA;14.762 ;66,9
216;ELSA;14.757 ;21,2
217;PAOLA;14.463 ;16,5
218;MARIA REMEDIOS;14.416 ;53,9
219;ELISABETH;14.268 ;32,1
220;ENRIQUETA;14.259 ;69,0
221;ESTELA;14.239 ;25,1
222;MARIA REYES;14.106 ;48,7
223;MACARENA;13.967 ;28,1
224;LOLA;13.876 ;8,3
225;MAR;13.802 ;12,5
226;JIMENA;13.708 ;7,9
227;AINA;13.567 ;12,0
228;TATIANA;13.547 ;30,3
229;YAIZA;13.515 ;16,5
230;MARIA ARANZAZU;13.401 ;49,3
231;AMAIA;13.133 ;29,1
232;SARAY;13.008 ;17,8
233;PIEDAD;12.994 ;64,5
234;AFRICA;12.971 ;26,8
235;MARIA TRINIDAD;12.966 ;50,1
236;FLORENTINA;12.879 ;63,7
237;GREGORIA;12.828 ;71,1
238;ARANZAZU;12.668 ;37,2
239;MARIA ESPERANZA;12.651 ;53,4
240;ITZIAR;12.542 ;29,2
241;LEYRE;12.516 ;11,4
242;AMANDA;12.369 ;22,9
243;AURELIA;12.282 ;66,8
244;JOANA;12.228 ;34,0
245;MIRIAN;12.156 ;27,6
246;MAITE;11.912 ;34,9
247;CANDIDA;11.746 ;68,2
248;ANA ROSA;11.084 ;46,7
249;IRIA;11.053 ;15,5
250;IRIS;10.907 ;17,5
251;OLIVIA;10.881 ;17,9
252;SAGRARIO;10.845 ;64,9
253;MERCE;10.833 ;54,6
254;ANE;10.802 ;15,1
255;ANTONIA MARIA;10.729 ;48,5
256;CARIDAD;10.714 ;60,6
257;MERITXELL;10.697 ;29,8
258;KHADIJA;10.695 ;32,5
259;DESIREE;10.639 ;21,6
260;RITA;10.638 ;52,0
261;MARIA SOL;10.434 ;50,2
262;NEUS;10.215 ;30,6
263;MARIA JULIA;10.119 ;54,5
264;AGUEDA;10.015 ;55,1
265;MARIA MANUELA;9.990 ;60,1
266;MARIA INES;9.982 ;51,4
267;MARIA FERNANDA;9.930 ;43,8
268;ROSER;9.866 ;51,6
269;LYDIA;9.828 ;26,4
270;TOMASA;9.808 ;71,7
271;ELIZABETH;9.747 ;34,7
272;ADELINA;9.727 ;64,6
273;CONSOLACION;9.710 ;59,9
274;VIOLETA;9.710 ;27,9
275;FELICIDAD;9.706 ;67,3
276;TEODORA;9.700 ;68,1
277;ALBA MARIA;9.683 ;20,4
278;ESMERALDA;9.577 ;38,7
279;MARIA GRACIA;9.554 ;53,9
280;MARIA ASCENSION;9.507 ;57,3
281;MARIA CANDELARIA;9.441 ;52,7
282;BENITA;9.423 ;70,3
283;AMAYA;9.412 ;34,5
284;CARME;9.304 ;59,4
285;HORTENSIA;9.189 ;68,2
286;ANA CRISTINA;9.164 ;37,9
