Frecuencias de nombres masculinos;;;
Datos procedentes de la Estadística del Padrón Continuo a fecha 01/01/2016;;;
;;;
Nombres masculinos con frecuencia mayor o igual a 20 a nivel nacional.;;;
(*) Edad media de las personas que tienen ese nombre a nivel nacional.;;;
;;;
Orden;Nombre;Frecuencia;Edad Media (*)
161;JONATAN;17.975 ;27,7
162;JESUS MANUEL;17.477 ;43,9
163;JOSE ALBERTO;17.354 ;41,3
164;BARTOLOME;17.118 ;58,4
165;JUAN JESUS;16.848 ;41,5
166;JOSEP MARIA;16.736 ;55,4
167;MARCELINO;16.736 ;62,7
168;MARCO;16.684 ;15,1
169;LUIS ALBERTO;16.449 ;42,7
170;FERMIN;16.079 ;56,7
171;IÑAKI;15.936 ;35,6
172;PERE;15.862 ;49,6
173;ADRIA;15.801 ;15,7
174;BENJAMIN;15.772 ;48,9
175;ROGER;15.610 ;22,7
176;ELIAS;15.473 ;41,3
177;LLUIS;15.445 ;45,7
178;CARLES;15.366 ;34,8
179;ANTONI;15.317 ;46,4
180;AURELIO;15.280 ;61,1
181;KEVIN;15.217 ;16,3
182;PEDRO ANTONIO;15.096 ;46,4
183;ALONSO;14.929 ;32,0
184;MATIAS;14.663 ;45,1
185;JOSE ENRIQUE;14.645 ;45,5
186;ADAM;14.525 ;8,0
187;JUAN PABLO;14.480 ;35,4
188;MARCO ANTONIO;14.390 ;36,9
189;ANGEL LUIS;14.346 ;45,9
190;GUILLEM;14.106 ;18,1
191;EUSEBIO;14.004 ;62,0
192;JUAN IGNACIO;13.962 ;45,8
193;JACINTO;13.959 ;60,8
194;CARLOS ALBERTO;13.789 ;41,6
195;ANDER;13.769 ;18,1
196;FRANCISCO JESUS;13.580 ;36,1
197;JERONIMO;13.520 ;54,1
198;MARTI;13.467 ;17,4
199;VICTORIANO;13.458 ;63,0
200;ALEXANDER;13.364 ;25,7
201;SAUL;13.183 ;17,6
202;ROMAN;12.895 ;45,5
203;XABIER;12.829 ;24,8
204;JOSE JUAN;12.789 ;47,1
205;GORKA;12.710 ;26,0
206;MANUEL ANGEL;12.693 ;46,5
207;ABRAHAM;12.687 ;22,8
208;GUSTAVO;12.665 ;40,3
209;ISIDORO;12.636 ;60,7
210;FERRAN;12.557 ;27,3
211;SAID;12.342 ;38,2
212;TEODORO;12.268 ;63,8
213;DAMIAN;12.239 ;39,7
214;DIONISIO;12.194 ;62,4
215;LUIS FERNANDO;12.183 ;45,5
216;LUIS MANUEL;12.162 ;42,7
217;ERIK;12.135 ;10,4
218;BLAS;12.125 ;57,0
